Date,Time/Seq,SMAC,SIP,Sport,DMAC,DIP,Dport,Protocol,GoodBad,AllowBlock,Comments
20180408,62,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush A, cache flush 192.168.1.11 A, cache flush 192.168.1.11 PTR, cache flush dch175A.local PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local PTR, cache flush dch.local SRV, cache flush 0 0 80 dch.local TXT, cache flush SRV, cache flush 0 0 80 dch.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local PTR _dhnap._tcp.local",Safe protocol
20180408,63,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local SRV, cache flush 0 0 80 dch.local TXT, cache flush",Safe protocol
20180408,64,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR _http._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local TXT, cache flush",Safe protocol
20180408,65,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local A, cache flush 192.168.1.11 PTR, cache flush dch.local A, cache flush 192.168.1.11 PTR, cache flush dch175A.local",Safe protocol
20180408,68,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR _dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,69,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local",Safe protocol
20180408,70,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local",Safe protocol
20180408,71,DavidEle_06:08:ba,,,D-LinkIn_c5:17:5a,,,ARP,,1,Who has 192.168.1.11? Tell 192.168.1.1,Safe protocol
20180408,72,D-LinkIn_c5:17:5a,,,DavidEle_06:08:ba,,,ARP,,1,192.168.1.11 is at 6c:72:20:c5:17:5a,Safe protocol
20180408,73,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY a.5.7.1.5.c.e.f.f.f.0.2.2.7.e.6.0.0.0.0.0.0.0.0.0.0.0.0.0.8.e.f.ip6.arpa, ""QM"" question ANY dch175A.local, ""QM"" question ANY 11.192.168.1.in-addr.arpa, ""QM"" question ANY dch.local, ""QM"" question A 192.168.1.11 PTR dch175A.local A 192.168.1.11 PTR dch.local AAAA fe80::6e72:20ff:fec5:175a PTR dch175A.local AAAA fe80::6e72:20ff:fec5:175a PTR dch.local",Safe protocol
20180408,74,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local AAAA, cache flush fe80::6e72:20ff:fec5:175a",Safe protocol
20180408,75,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR, cache flush dch.local A, cache flush 192.168.1.11 PTR, cache flush dch175A.local A, cache flush 192.168.1.11",Safe protocol
20180408,76,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,77,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,78,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 ANY D-Link DCH-S160 Configuration Utility._http._tcp.local, ""QM"" question ANY D-Link HNAP Service._dhnap._tcp.local, ""QM"" question SRV 0 0 80 dch.local TXT SRV 0 0 80 dch.local TXT",Safe protocol
20180408,79,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush PTR D-Link HNAP Service._dhnap._tcp.local SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.1.11 TXT, cache flush PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local PTR _http._tcp.local",Safe protocol
20180408,80,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,81,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR, cache flush dch.local A, cache flush 192.168.1.11 PTR, cache flush dch175A.local PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local",Safe protocol
20180408,82,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush PTR D-Link HNAP Service._dhnap._tcp.local SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.1.11 TXT, cache flush PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local PTR _http._tcp.local",Safe protocol
20180408,83,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,84,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR, cache flush dch.local A, cache flush 192.168.1.11 A, cache flush 192.168.1.11 PTR, cache flush dch175A.local PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local",Safe protocol
20180408,86,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 TXT, cache flush TXT, cache flush PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.1.11 PTR _http._tcp.local",Safe protocol
20180408,87,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 SRV, cache flush 0 0 80 dch.local PTR D-Link HNAP Service._dhnap._tcp.local",Safe protocol
20180408,88,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,89,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local TXT, cache flush SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.1.11",Safe protocol
20180408,90,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,91,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 PTR _http._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local SRV, cache flush 0 0 80 dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a A, cache flush 192.168.1.11 TXT, cache flush PTR _dhnap._tcp.local PTR D-Link DCH-S160 Configuration Utility._http._tcp.local SRV, cache flush 0 0 80 dch.local TXT, cache flush",Safe protocol
20180408,92,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query 0x0000 PTR D-Link HNAP Service._dhnap._tcp.local, ""QM"" question",Safe protocol
20180408,93,,192.168.1.11,,,224.0.0.251,,MDNS,,1,"Standard query response 0x0000 AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch.local AAAA, cache flush fe80::6e72:20ff:fec5:175a PTR, cache flush dch175A.local A, cache flush 192.168.1.11 PTR, cache flush dch.local A, cache flush 192.168.1.11 PTR, cache flush dch175A.local",Safe protocol
20180408,94,,192.168.1.11,,,192.168.1.1,,DNS,,1,Standard query 0x0002 A api.dch.dlink.com,Safe protocol
20180408,95,,192.168.1.1,,,192.168.1.11,,DNS,,1,Standard query response 0x0002 A api.dch.dlink.com CNAME eu-api-elb-1068129369.eu-central-1.elb.amazonaws.com A 52.28.38.154 A 52.58.68.165 NS ns-1689.awsdns-19.co.uk NS ns-1326.awsdns-37.org NS ns-417.awsdns-52.com NS ns-613.awsdns-12.net A 205.251.193.161 A 205.251.194.101 A 205.251.197.46 A 205.251.198.153,Safe protocol
20180408,96,,192.168.1.11,,,52.28.38.154,,TCP,,1,34025  >  443 [SYN] Seq=0 Win=5840 Len=0 MSS=1460 SACK_PERM=1 TSval=4294948082 TSecr=0 WS=2,source ip is relatively new
20180408,97,,52.28.38.154,,,192.168.1.11,,TCP,,1,"443  >  34025 [SYN, ACK] Seq=0 Ack=1 Win=17898 Len=0 MSS=1380 SACK_PERM=1 TSval=437598109 TSecr=4294948082 WS=256",source ip is relatively new
20180408,98,,192.168.1.11,,,52.28.38.154,,TCP,,1,34025  >  443 [ACK] Seq=1 Ack=1 Win=5840 Len=0 TSval=4294948083 TSecr=437598109,source ip is relatively new
20180408,99,,192.168.1.11,,,52.28.38.154,,TLSv1,,1,Client Hello,source ip is relatively new
20180408,100,,52.28.38.154,,,192.168.1.11,,TCP,,1,443  >  34025 [ACK] Seq=1 Ack=208 Win=19200 Len=0 TSval=437598123 TSecr=4294948096,source ip is relatively new
20180408,101,,52.28.38.154,,,192.168.1.11,,TLSv1,,1,Server Hello,source ip is relatively new
20180408,102,,52.28.38.154,,,192.168.1.11,,TCP,,1,443  >  34025 [ACK] Seq=1369 Ack=208 Win=19200 Len=1368 TSval=437598123 TSecr=4294948096 [TCP segment of a reassembled PDU],source ip is relatively new
20180408,103,,52.28.38.154,,,192.168.1.11,,TLSv1,,1,"Certificate, Server Key Exchange, Server Hello Done",source ip is relatively new
20180408,104,,52.28.38.154,,,192.168.1.11,,TCP,,1,"[TCP Retransmission] 443  >  34025 [PSH, ACK] Seq=2737 Ack=208 Win=19200 Len=1081 TSval=437598126 TSecr=4294948096",source ip is relatively new
20180408,105,,192.168.1.11,,,52.28.38.154,,TCP,,1,34025  >  443 [ACK] Seq=208 Ack=1369 Win=8576 Len=0 TSval=4294948098 TSecr=437598123,source ip is relatively new
20180408,106,,192.168.1.11,,,52.28.38.154,,TCP,,1,34025  >  443 [ACK] Seq=208 Ack=2737 Win=11312 Len=0 TSval=4294948100 TSecr=437598123,source ip is relatively new
20180408,107,,192.168.1.11,,,52.28.38.154,,TCP,,1,34025  >  443 [ACK] Seq=208 Ack=3818 Win=14048 Len=0 TSval=4294948101 TSecr=437598123,source ip is relatively new
20180408,108,,192.168.1.11,,,52.28.38.154,,TCP,,1,[TCP Dup ACK 107#1] 34025  >  443 [ACK] Seq=208 Ack=3818 Win=14048 Len=0 TSval=4294948101 TSecr=437598126 SLE=2737 SRE=3818,source ip is relatively new
20180408,109,,192.168.1.11,,,52.28.38.154,,TLSv1,,1,"Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message",Previously seen destination. Letting through.
20180408,110,,52.28.38.154,,,192.168.1.11,,TLSv1,,1,"New Session Ticket, Change Cipher Spec, Encrypted Handshake Message",source ip is relatively new
