MAC Address	IP Address	Device class	Device identification	Softwarer identification	Software version	Open ports	Communication ranges and Protocols	Vendor	Device Information	User Text
3CFA43A2C538	192.168.100.200							"HUAWEI TECHNOLOGIES CO.,LTD"		DIPTI
4C327593B60F	192.168.100.206					"883,283,590,052,096"	88	"Apple, Inc."		BOSMPVH2
4C0BBE221996	192.168.100.207	general_purpose	desktop					Microsoft		DESKTOPVDP1E0R
DCA4CA0E296C	192.168.100.212									
D02B20761004	192.168.100.222									
08D40CA94101	192.168.100.226					"46,599,511,951,650,200,000,000,000,000,000,000,000,000,000,000"	"465,995,119,516,504,000,000,000,000,000"			
08D40CA94101	192.168.100.226	general_purpose	laptop					Intel Corporate		LAPTOP0ERA3COA
5CC5D413BF41	192.168.100.229	general_purpose	laptop			"135,139,445,154,133,000,000"	"1,351,394,457,070"	Intel Corporate	Your Computer	HariniSPC
A45E60DB1121	192.168.100.233	general_purpose	laptop			"330,649,986"	3306	"Apple, Inc."		MACBOOKPRO1121
9801A7CD9E49	192.168.100.235									
9CB6D01CB9A9	192.168.100.236	general_purpose	laptop			"70,704,204,944,491"	7070	Rivet Networks		DESKTOPVDP1E0R
98541B2F8825	192.168.100.237	general_purpose	laptop			"2,213,513,944,553,570,000,000,000,000,000,000,000,000,000,000,000"	"221,351,394,455,357"	Intel Corporate		WINDOWSVLT51C6
8C85905332ED	192.168.100.238	general_purpose	laptop			"223,306,496,614,967,000,000"	"223,306"	"Apple, Inc."		MACBOOKPRO32ED
8C8590817A53	192.168.100.241	general_purpose	laptop			49553	49553	"Apple, Inc."		MACBOOKPRO7A53
C0EEFB52E6B5	192.168.100.254							OnePlus Tech (Shenzhen) Ltd		WINDOWSVLT51C6
28107B0B7AB0	192.168.100.5					"443,554,808,149,152"	"443,808,149,152"	DLink International		
8C85900CDEAC	192.168.100.55	general_purpose	laptop			"50,915,070,761,728"	5091			
8489AD2A4432	192.168.100.56									
3CF862C0EEB9	192.168.100.62	general_purpose	laptop			"1,394,456,646"	"139,445"	Intel Corporate		Rahul
5413795D3AD5	192.168.100.65	general_purpose	desktop			"1,356,646"	135	"Hon Hai Precision Ind. Co.,Ltd."		DESKTOPQEJRUTP
C0EEFB53411B	192.168.100.68							OnePlus Tech (Shenzhen) Ltd		android288036e53b6c0b1f
9CB6D0F38B6B	192.168.100.69	general_purpose	desktop			"22,135,139,445,217,900,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000"	"221,351,394,455,357"			
F40F241EC0AE	192.168.100.70					22	22	"Apple, Inc."		MDEMETER
3CF862B9281E	192.168.100.71	general_purpose	laptop			"44,366,467,680"	443	Intel Corporate		MACBOOKPRODEAC
3C2AF4113A99	192.168.100.8	general_purpose	printer			"4,435,156,319,100"	"443,515,631"	"Brother Industries, LTD."		BRN3C2AF4113A99
F827937A3DDA	192.168.100.81									
FA28C88399DA	192.168.100.82	general_purpose	laptop			"13,513,944,533,065,400,000,000,000,000,000,000,000,000,000,000"	"13,513,933,065,432"			VARPREDATOR
BCA8A6C0AF8F	192.168.100.91							Intel Corporate		
20f85eca9152	10.10.10.1	home_appliances	Aria							
b0c554255b0e	10.10.10.37	home_appliances	DLinkCam							
b0c5541c7185	10.10.10.58	home_appliances	DLinkDayCam							
1c5f2baafd4e	10.10.10.87	entertainment	DLinkHomeHub							
908d78a8e143	10.10.10.72	home_appliances	DLinkSensor							
908d78dd0d60	10.10.10.39	home_appliances	DLinkSiren							
908d78a93d6f	10.10.10.176	general_purpose	DLinkSwitch							
6c7220c5175a	10.10.10.11	home_appliances	DLinkWaterSensor							
74da38807a08	10.10.10.51	home_appliances	EdimaxCam1							
74da388079fc	10.10.10.227	home_appliances	EdimaxCam2							
74da384a7649	10.10.10.186	general_purpose	EdimaxPlug1101W							
74da3823227b	10.10.10.232	general_purpose	EdimaxPlug2101W							
3c49370317db	10.10.10.187	home_appliances	EdnetCam1							
3c49370317f0	10.10.10.207	home_appliances	EdnetCam2							
accf23623c6e	10.10.10.1	general_purpose	EdnetGateway							
001a2205c42e	81.14.202.72	general_purpose	HomeMaticPlug							
0017882476ff	10.10.10.6	general_purpose	HueSwitch							
5ccf7f06d902	10.10.10.245	home_appliances	iKettle2							
8418267b5f6b	195.65.87.71	home_appliances	Lightify							
001a2203cbbe	10.10.10.127	general_purpose	MAXGateway							
5ccf7f07aefb	10.10.10.146	home_appliances	SmarterCoffee							
50c7bf00fca3	10.10.10.228	general_purpose	TPLinkPlugHS100							
50c7bf00c703	52.49.65.150	general_purpose	TPLinkPlugHS110							
94103e41c205	10.10.10.1	general_purpose	WeMoInsightSwitch							
94103e428069	10.10.10.124	general_purpose	WeMoInsightSwitch2							
94103ecd3765	10.10.10.1	general_purpose	WeMoLink							
94103e3501c1	10.10.10.1	general_purpose	WeMoSwitch							
94103e340cb5	10.10.10.190	general_purpose	WeMoSwitch2							
0024e424802a	10.10.10.21	health_fitness	Withings
e4f04278cbbe	192.168.1.108						
44650dc06a2a	192.168.1.118	entertainment	Amazon Echo				
000c29f77638	192.168.1.16	general_purpose	Ubuntu VM				
50c7bf6f7455	192.168.1.103	home_appliances	TP HS110				
28c63fb3a1db	192.168.1.115						
e8abfa56294a	192.168.1.91	home_appliances	Wirless Security Camera				
001e0b45eea3 	192.168.1.102						
e8abfaffc9ea	192.168.1.93	home_appliances	Wirless Security Camera				
c07cd1146f1b	192.168.1.10	general_purpose	HP Desktop				
e8508baa0317	192.168.1.114						
6837e9c0c4f3	192.168.1.99						
0023a7d0d241	192.168.1.90	home_appliances	Alarm				
e8abfadd3f4f	192.168.1.92	home_appliances	Wireless Security Camera				
c0bdd1ecd03b	192.168.1.113	general_purpose	Samsung Note 4				
44650d1ac66f	192.168.1.100	entertainment	Amazon Echo				
f4f5d869cf9b	192.168.1.21	entertainment	Google Home				
0090a9e63709	192.168.1.71	general_purpose	MyCloud				
64529950235b	192.168.1.42						
0090a99ed3f8	192.168.1.73	general_purpose	WD MyBook Live				
0011d9a02a5d	192.168.1.44	entertainment	Tivo				
0011d9a02a5d	169.254.4.38						
c48e8f98be72	192.168.1.119	general_purpose	HP Laptop VPC	Windows 8			
001861d06701	192.168.1.96	general_purpose	Ooma				
9cadefa005e1	192.168.1.95						
 2c6fc923afcc	192.168.1.2	home_appliances	Brother MFC L2750				
9cefd58ed82e	192.168.1.121						
34c0592d821a	192.168.1.27	general_purpose	iPad											
